GameTime 120

PopData 0
PopTime 600
PopPos Left
PopNum_Normal 3
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0
PopPos Center
PopNum_Normal 3
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0
PopPos Right
PopNum_Normal 3
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0

PopData 1
PopTime 1
PopPos Left
PopNum_Normal 1
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0
PopPos Center
PopNum_Normal 3
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0
PopPos Right
PopNum_Normal 1
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0

PopData 2
PopTime 1200
PopPos Left
PopNum_Normal 1
PopNum_Debu 1
PopNum_group 0
PopNum_group_humans 0
PopPos Center
PopNum_Normal 1
PopNum_Debu 1
PopNum_group 0
PopNum_group_humans 0
PopPos Right
PopNum_Normal 1
PopNum_Debu 1
PopNum_group 0
PopNum_group_humans 0

PopData 3
PopTime 1800
PopPos Left
PopNum_Normal 0
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0
PopPos Center
PopNum_Normal 0
PopNum_Debu 0
PopNum_group 1
PopNum_group_humans 5
PopPos Right
PopNum_Normal 0
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0

PopData 4
PopTime 2400
PopPos Left
PopNum_Normal 0
PopNum_Debu 1
PopNum_group 1
PopNum_group_humans 5
PopPos Center
PopNum_Normal 0
PopNum_Debu 2
PopNum_group 0
PopNum_group_humans 0
PopPos Right
PopNum_Normal 0
PopNum_Debu 1
PopNum_group 1
PopNum_group_humans 5

PopData 5
PopTime 2700
PopPos Left
PopNum_Normal 2
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0
PopPos Center
PopNum_Normal 2
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0
PopPos Right
PopNum_Normal 2
PopNum_Debu 0
PopNum_group 0
PopNum_group_humans 0

